Group/Investment,Ticker,Inception Date,Morningstar Category,Index,Analysis Date,Analyst Rating,People Rating,Process Rating,Parent Rating,Performance Rating,Price Rating,Star Rating,Prospectus Adjusted Operating Expense Ratio,Morningstar Fee Level Rank - Distribution,Fund Size,Fund Size Rank,Est Fund-Level Net Flow 1 Yr,Est Fund-Level Net Flow 1 Yr Rank,Est Fund-Level Net Flow 3 Yr,Est Fund-Level Net Flow 3 Yr Rank,Est Fund-Level Net Flow 5 Yr,Est Fund-Level Net Flow 5 Yr Rank,Flows % 1 Yr,Flows % 1 Yr Rank,Manager Tenure - Longest,Manager Tenure - Longest Rank,Manager Tenure - Average,Manager Tenure - Average Rank,Manager Ownership Level,12 Mo Yield,12 Mo Yield Rank,Eff Duration,Eff Duration Rank,Credit Qual AAA %,Credit Qual AAA Rank,Credit Qual AA %,Credit Qual AA Rank,Credit Qual A % ,Credit Qual A Rank,Credit Qual BBB %,Credit Qual BBB Rank,Credit Qual BB %,Credit Qual BB Rank,Credit Qual B %,Credit Qual B Rank,Credit Qual CCC %,Credit Qual CCC Rank,Credit Qual NR %,Credit Qual NR Rank,% Asset in Top 10,% Asset in Top 10 Rank,# of Holdings ,# of Holdings Rank,Government %,Government Rank,Government Related % ,Government Related Rank,Corporate Bond %,Corporate Bond Rank,Agency MBS %,Agency MBS Rank,Nonagency RMBS %,Nonagency RMBS Rank,CMBS % ,CMBS Rank,ABS %,ABS Rank,Cash & Equivalents % ,Cash & Equivalents Rank,3 Yr Return,3 Yr Return Rank,3 Yr Std Dev,3 Yr Std Dev Rank,3 Yr Sharpe Ratio,3 Yr Sharpe Ratio Rank,3 Yr Alpha,3 Yr Alpha Rank,3 Yr Beta,3 Yr Beta Rank,3 Yr R2,3 Yr R2 Rank,3 Yr Max Drawdown,3 Yr Max Drawdown Rank,5 Yr Return,5 Yr Return Rank,5 Yr Std Dev,5 Yr Std Dev Rank,5 Yr Sharpe Ratio,5 Yr Sharpe Ratio Rank,5 Yr Alpha,5 Yr Alpha Rank,5 Yr Beta,5 Yr Beta Rank,5 Yr R2,5 Yr R2 Rank,5 Yr Max Drawdown,5 Yr Max Drawdown Rank,10 Yr Return,10 Yr Return Rank,10 Yr Std Dev,10 Yr Std Dev Rank,10 Yr Sharpe Ratio,10 Yr Sharpe Ratio Rank,10 Yr Alpha,10 Yr Alpha Rank,10 Yr Beta,10 Yr Beta Rank,10 Yr R2,10 Yr R2 Rank,10 Yr Max Drawdown,10 Yr Max Drawdown Rank,15 Yr Return,15 Yr Return Rank,15 Yr Std Dev,15 Yr Std Dev Rank,15 Yr Sharpe Ratio,15 Yr Sharpe Ratio Rank,15 Yr Alpha,15 Yr Alpha Rank,15 Yr Beta,15 Yr Beta Rank,15 Yr R2,15 Yr R2 Rank,15 Yr Max Drawdown,15 Yr Max Drawdown Rank,IR Shock Oct 2010 - Jan 2011,IR Shock Oct 2010 - Jan 2011 Rank,Eurozone Crisis June - Sep 2011,Eurozone Crisis June - Sep 2011 Rank,Taper Tantrum May - Aug 2013,Taper Tantrum May - Aug 2013 Rank,EM LC Sell-Off Sep - Dec 2014,EM LC Sell-Off Sep - Dec 2014 Rank,HY Sell-Off June 2015 - Feb 2016,HY Sell-Off June 2015 - Feb 2016 Rank,IR Shock Aug - Dec 2016,IR Shock Aug - Dec 2016 Rank,IR Shock 2018 Jan - Oct 2018,IR Shock 2018 Jan - Oct 2018 Rank,EM LC Sell-Off April - Oct 2019,EM LC Sell-Off April - Oct 2019 Rank,HY Equity Sell-Off Oct - Dec 2018,HY Equity Sell-Off Oct - Dec 2018 Rank,2008 Return,2008 Return Rank,2009 Return,2009 Return Rank
AdvisorShares Pacific Asst Enh Fl Rt ETF,FLRT,2/18/15,US Fund Bank Loan,No,,,,,,,,2.00,1.14,,"29,360,571.00",95,0.00,20,"2,466,500.00",53,,,0.00,19,4.42,73,3.92,59,"C. Robert Boyd [$10,001 - $50,000];Michael Marzouk [$0 - None];",4.30,92,0.46,16,4.74,15,0.00,20,0.00,19,11.93,10,34.25,28,48.97,65,0.00,92,0.11,78,16.74,22,94,90,0.00,11,0.00,4,13.58,12,0.00,9,0.00,9,0.00,9,0.10,36,5.30,29,3.74,92,3.10,18,0.73,92,-1.68,94,1.07,18,93.71,80,-3.89,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.81,39,2.92,57,2.84,88,1.95,75,-3.89,84,,,,
AIG Senior Floating Rate A,SASFX,10/4/06,US Fund Bank Loan,No,,,,,,,,4.00,1.02,37,"238,081,508.00",69,"218,541.14",18,"-48,386,583.81",58,"-204,979,437.13",55,0.09,18,10.00,19,10.00,11,"Jeffrey W. Heuer [$100,001 - $500,000]",4.76,74,0.34,38,4.98,11,0.03,17,0.00,19,1.06,80,28.88,64,56.06,33,8.26,11,0.73,62,9.08,67,315,38,0.00,12,0.00,4,6.61,47,0.00,9,0.00,9,0.00,9,0.00,42,3.41,59,4.64,46,2.90,32,1.06,59,-0.69,62,1.03,29,97.83,16,-3.79,78,3.07,69,3.24,33,0.67,71,-0.75,79,1.06,25,-5.75,69,98.10,1,5.88,30,4.06,15,1.30,70,-0.54,75,1.05,10,96.42,5,-5.75,60,3.57,100,8.31,10,0.30,100,-1.65,100,1.19,10,-39.67,100,94.95,60,4.49,58,-4.74,90,0.27,67,-1.73,79,-5.75,70,3.78,34,3.43,37,2.34,19,-3.79,78,-38.13,100,60.63,5
American Beacon Sound Point FlRtIn Y,SPFYX,12/11/15,US Fund Bank Loan,No,,,,,,,,4.00,0.90,88,"1,574,938,202.00",31,"-432,828,230.35",66,"1,436,756,423.75",6,"1,517,536,289.77",4,-21.30,54,6.58,52,4.56,48,"Stephen Ketchum [$1 - $10,000];Rick Richert [$10,001 - $50,000];Joe Xu [$0 - None];",6.43,4,,,0.00,49,0.00,20,0.00,19,0.87,82,14.87,92,68.80,10,7.58,22,7.87,10,9.16,65,323,36,0.00,12,0.00,4,6.58,49,0.00,9,0.00,9,0.00,9,0.00,42,6.67,16,4.88,31,2.05,100,1.57,2,0.66,4,0.72,100,93.36,82,-2.46,4,4.63,1,1.97,100,1.81,1,1.98,1,0.60,100,-2.46,2,82.22,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1,0.15,1,0.14,1,3.11,52,3.77,14,2.26,27,-2.39,7,,,,
Barings Global Floating Rate Y,BXFYX,9/16/13,US Fund Bank Loan,No,,,,,,,,5.00,0.75,44,"271,039,112.00",62,"18,020,602.39",5,"77,861,290.13",38,"138,196,072.08",30,7.06,13,5.83,62,3.97,58,Sean M. Feeley [$0 - None];Thomas McDonnell [$0 - None];Martin Horne [$0 - None];Rob Faulkner [$0 - None];David Mihalick [$0 - None];,5.44,13,0.36,31,0.00,49,0.00,20,0.00,19,0.47,89,15.77,89,66.83,17,5.91,31,11.02,2,9.80,60,310,42,0.00,12,0.00,4,8.27,36,0.00,9,0.00,9,0.00,9,0.00,42,5.44,27,5.64,8,2.79,52,1.42,8,0.47,6,0.98,52,92.08,92,-3.38,41,3.65,16,3.13,40,0.87,35,-0.04,31,1.01,40,-5.17,58,94.04,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.88,82,-5.17,59,5.70,4,3.39,42,2.18,34,-3.38,45,,,,
BlackRock Floating Rate Income Instl,BFRIX,3/18/11,US Fund Bank Loan,No,,,,,,,,4.00,0.67,21,"3,147,603,963.00",16,"-896,415,044.29",77,"-121,841,419.23",65,"125,438,430.76",32,-22.20,59,9.00,24,2.26,81,"James Keenan [$1,000,001 and above];David Delbos [$0 - None];Mitchell S. Garfin [$0 - None];Carly Wilson [$10,001 - $50,000];Matthew Maxwell [$10,001 - $50,000];Abigail Apistolas [$0 - None];",5.02,49,0.24,71,2.98,31,0.00,20,0.00,19,3.83,56,26.79,76,63.59,22,2.52,78,0.30,76,10.88,53,415,18,0.00,12,0.00,4,1.50,89,0.00,9,0.00,9,0.00,9,0.00,42,3.49,58,4.44,54,2.84,43,1.02,66,-0.81,69,1.01,39,98.40,4,-3.60,59,3.36,40,2.77,73,0.87,31,-0.04,29,0.90,71,-3.60,29,95.48,37,5.70,40,3.47,75,1.46,30,0.12,30,0.90,70,95.98,30,-4.34,10,3.90,80,6.12,70,0.43,60,-0.44,60,0.89,70,-30.10,30,97.00,40,4.27,62,-3.92,40,0.53,35,-0.78,31,-2.80,24,3.22,46,3.13,67,2.03,62,-3.60,60,-28.66,47,39.83,60
BNY Mellon Floating Rate Income I,DFLIX,9/27/13,US Fund Bank Loan,No,,,,,,,,3.00,0.76,55,"951,444,865.00",45,"-178,222,070.90",48,"423,423,718.12",19,"376,843,509.88",22,-15.85,41,5.83,62,3.14,73,Kevin L. Cronk [$0 - None];Chris Barris [$0 - None];Leland Hart [$0 - None];,5.38,19,0.15,86,0.00,49,0.00,20,0.00,19,0.56,87,19.51,83,77.31,4,2.62,76,0.00,82,8.15,76,248,64,0.00,12,0.00,4,2.68,79,0.00,9,0.00,9,0.00,9,3.65,7,4.99,32,3.83,91,2.51,69,0.91,80,-0.98,77,0.90,69,97.47,27,-3.40,45,2.77,86,2.84,63,0.65,75,-0.68,75,0.92,60,-5.25,60,95.57,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.73,27,-5.25,61,2.87,61,2.86,86,1.85,86,-3.40,48,,,,
Calvert Floating-Rate Advantage I,CFOIX,10/10/17,US Fund Bank Loan,No,,,,,,,,,1.58,99,"60,986,091.00",89,"-11,751,092.96",26,,,,,-16.16,45,1.75,87,1.58,87,Scott H. Page [$0 - None];Craig P. Russ [$0 - None];Catherine C. McDermott [$0 - None];,4.82,70,,,,,,,,,,,,,,,,,,,12.15,47,189,75,0.00,12,0.00,4,2.64,81,0.00,9,0.00,9,0.00,9,0.00,42,3.50,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,81,1.89,81,-4.25,96,,,,
Catalyst Floating Rate Income I,CFRIX,12/31/12,US Fund Bank Loan,No,,,,,,,,4.00,0.94,92,"68,197,155.00",87,"14,371,036.15",7,"46,585,782.55",44,"-2,065,333.72",47,27.10,5,0.92,96,0.92,93,Stan Sokolowski [$0 - None],4.82,71,,,,,,,,,,,,,,,,,,,18.22,17,116,84,0.00,12,0.00,4,7.21,42,0.00,9,0.00,9,0.00,9,3.08,9,2.40,76,7.02,1,3.52,2,1.51,4,1.49,1,1.06,22,70.00,100,-3.05,27,3.10,63,4.68,1,0.48,90,-1.40,90,1.33,4,-12.40,100,74.37,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,12,-2.80,96,-12.40,100,4.62,13,3.86,10,1.67,93,-3.05,30,,,,
Columbia Floating Rate Inst,CFRZX,9/27/10,US Fund Bank Loan,No,2/22/19,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.00,0.78,66,"1,083,454,431.00",41,"-130,090,571.20",44,"201,376,463.08",24,"-112,574,231.48",53,-10.56,30,7.25,47,3.83,61,"Ronald Launsbach [$1 - $10,000];Vesa Tontti [$0 - None];",4.95,57,0.15,84,3.59,26,0.00,20,0.00,19,5.75,42,30.04,58,53.44,46,5.35,37,1.83,47,5.35,100,425,16,0.00,12,0.00,4,0.72,94,0.00,9,0.00,9,0.00,9,0.00,42,4.44,41,4.97,25,2.81,46,1.20,31,-0.24,36,1.00,45,96.95,43,-3.70,71,3.57,21,3.02,52,0.87,33,-0.07,35,0.99,50,-4.41,48,96.97,8,6.11,20,3.75,40,1.46,35,0.11,35,0.97,35,96.24,25,-5.38,40,,,,,,,,,,,,,,,6.44,5,-5.38,96,0.92,7,-1.44,67,-4.41,48,3.54,41,3.76,17,2.06,57,-3.70,71,-30.44,76,42.25,45
Credit Suisse Floating Rate Hi Inc Instl,CSHIX,8/1/00,US Fund Bank Loan,No,11/29/18,Bronze,Positive,Positive,Neutral,Positive,Positive,5.00,0.70,25,"2,743,840,380.00",19,"-1,199,724,727.00",82,"13,046,065.63",49,"642,018,286.79",14,-30.34,70,13.75,10,8.78,19,"Wing Chan [$10,001 - $50,000];Thomas J. Flannery [$0 - None];John G. Popp [$100,001 - $500,000];Louis I. Farano [$50,001 - $100,000];David J. Mechlin [$0 - None];",4.98,54,0.53,9,4.90,13,0.00,20,1.39,6,4.35,55,27.89,73,50.74,60,7.64,19,3.10,31,8.84,71,382,25,0.00,12,0.00,4,10.14,27,0.00,9,0.00,9,0.27,1,4.99,4,3.07,69,4.75,41,2.44,82,1.28,23,-0.02,23,0.88,77,96.68,50,-3.19,32,3.68,12,2.83,65,0.96,20,0.22,18,0.92,61,-4.34,46,95.00,42,7.38,1,4.32,5,1.54,10,0.98,1,1.03,20,81.93,100,-4.34,15,5.85,1,8.10,20,0.57,1,1.08,1,1.03,30,-34.52,70,74.29,100,6.40,9,-3.38,27,0.46,40,-1.00,39,-4.32,46,3.93,27,3.25,52,2.31,22,-3.19,35,-24.66,35,52.77,10
